source,target,transmission
0,1,No
0,2,No
0,3,No
0,4,No
0,5,No
0,6,No
0,7,No
0,8,No
0,12,No
0,13,No
0,16,No
0,20,No
0,24,No
0,32,No
0,34,No
0,35,No
0,52,No
0,56,No
0,69,No
0,81,No
0,130,No
0,131,No
0,134,No
0,167,No
0,181,No
0,213,No
0,265,No
0,358,No
0,377,No
0,397,No
0,441,No
1,4,No
1,5,No
1,21,No
1,27,No
1,32,No
1,39,No
1,47,No
1,48,No
1,94,No
1,131,No
1,198,No
1,217,No
1,222,No
1,224,No
1,265,No
1,266,No
1,318,No
1,341,No
1,346,No
1,351,No
1,405,No
1,420,No
1,478,No
2,4,No
2,5,No
2,11,No
2,12,No
2,25,No
2,28,No
2,29,No
2,48,No
2,54,No
2,62,No
2,79,No
2,88,No
2,99,No
2,120,No
2,133,No
2,139,No
2,245,No
2,252,No
2,321,No
2,336,No
2,361,No
2,391,No
3,6,No
3,7,No
3,8,No
3,9,No
3,13,No
3,15,No
3,19,No
3,24,No
3,26,No
3,34,No
3,37,No
3,45,No
3,54,No
3,58,No
3,59,No
3,60,No
3,66,No
3,80,No
3,82,No
3,87,No
3,90,No
3,106,No
3,107,No
3,124,No
3,125,No
3,135,No
3,149,No
3,160,No
3,173,No
3,193,No
3,204,No
3,207,No
3,226,No
3,230,No
3,241,No
3,260,No
3,292,No
3,298,No
3,331,No
3,345,No
3,366,No
3,377,No
3,400,No
3,409,No
3,458,No
3,459,No
3,461,No
3,481,No
4,9,No
4,10,No
4,12,No
4,14,No
4,25,No
4,30,No
4,33,No
4,39,No
4,70,No
4,98,No
4,109,No
4,116,No
4,137,No
4,147,No
4,174,No
4,204,No
4,225,No
4,227,No
4,246,No
4,247,No
4,263,No
4,341,No
4,357,No
4,425,No
4,436,No
4,463,No
4,480,No
5,6,No
5,7,No
5,9,No
5,16,No
5,17,No
5,26,No
5,44,No
5,51,No
5,63,No
5,110,No
5,128,No
5,132,No
5,154,No
5,155,No
5,207,No
5,223,No
5,227,No
5,276,No
5,289,No
5,312,No
5,313,No
5,320,No
5,338,No
5,340,No
5,367,No
5,394,No
6,17,No
6,18,No
6,22,No
6,29,No
6,38,No
6,50,No
6,64,No
6,66,No
6,112,No
6,125,No
6,179,No
6,195,No
6,246,No
6,288,No
6,319,No
6,393,No
6,396,No
6,418,No
6,421,No
6,423,No
6,428,No
6,463,No
6,464,No
6,470,No
7,8,No
7,11,No
7,13,No
7,15,No
7,24,No
7,28,No
7,29,No
7,31,No
7,46,No
7,56,No
7,63,No
7,83,No
7,94,No
7,102,No
7,103,No
7,127,No
7,129,No
7,130,No
7,145,No
7,157,No
7,162,No
7,177,No
7,201,No
